城市,代码
东阿,donge
东昌府,dongchangfu
达坂城,dabancheng
独山子,dushanziqu
当雄,dangxiong
堆龙德庆,duilongdeqing
达孜,dazi
定日,dingri
定结,dingjie
丁青,dingqing
大通回族,datonghuizu
达日,dari
多县,duoxian1
大柴旦,dachaidan
都兰,dulan
德令哈,delingha
定西,dingxi
敦煌,dunhuang
宕昌,dangchang
东乡族,dongxiang
迭部,diebu
大武口,dawukouqu
登封,dengfeng
邓州,dengzhou
郸城,dancheng
丹阳,danyang
丹徒,dantu
东台,dongtai
大丰,dafeng
东海,donghai
东西湖,dongxihu
大悟,dawu
大冶,daye
当阳,dangyang
点军,dianjunqu
丹江口,danjiangkou
掇刀,duodao
东宝,dongbaoqu
德清,deqing
洞头,dongtou
东阳,dongyang
岱山,daishan
定海,dinghai
大通,datongqu
当涂,dangtu
大观,daguanqu
砀山,dangshan
定远,dingyuan
杜集,dujiqu
东至,dongzhi
德化,dehua
东山,dongshan
大田,datian
钓鱼岛,diaoyudao
东湖,donghuqu
德安,dean
都昌,duchang
德兴,dexing
东乡,dongxiang1
大余,dayu
定南,dingnan
武陵,wulingqu
鼎城,dingchengqu
洞口,dongkou
大祥,daxiangqu
东安,dongan
道县,daoxian
道真,daozhen
都匀,duyun
独山,dushan
丹寨,danzhai
德江,dejiang
大方,dafang
大邑,dayi
都江堰,dujiangyan
攀枝花东区,panzhihuadongqu
大安,daanqu
达州,dazhou
大竹,dazhu
达川,dachuan
达县,daxian
大英,dayinqu
东兴,dongxing
丹棱,danleng
东坡,dongpoqu
德昌,dechang
丹巴,danba
道孚,daofu
德格,dege
稻城,daocheng
得荣,derong
德阳,deyang
大埔,dabu
斗门,doumen
德庆,deqing1
端州,duanzhouqu
鼎湖,dinghuqu
东源,dongyuan
东莞,dongguan
电白,dianbai
东川,dongchuan
大理,dali1
大姚,dayao
大关,daguan
迪庆,diqing
德钦,deqin
德宏,dehong
大新,daxin
叠彩,diecai
都安瑶族,duan
德保,debao
东兰,donglan
大化,dahua
东兴,dongxingshi
东方,dongfang
儋州,danzhou
定安,dingan
大堂,datang
二道,erdaoqu
二道江,erdaojiang
鄂尔多斯,eerduosi
鄂前旗,eqianqi
鄂托克,etuokeqi
二连浩特,erlianhaote
鄂伦春旗,elunchunqi
鄂温克旗,ewenkeqi
额尔古纳,eerguna
鄂伦春,elunchun
鄂温克,ewenke
额济纳,ejina
额敏,emin
二七,erqiqu
鄂州,ezhou
鄂城,echengqu
恩施,enshi
恩阳,enyang
峨边,ebian
峨眉,emei
峨眉山,emeishan
恩平,enping
洱源,eryuan
峨山,eshan
丰台,fengtai
房山,fangshan
奉贤,fengxian
涪陵,fuling
奉节,fengjie
丰都,fengdu
方正,fangzheng
富裕,fuyu
富拉尔基,fularjiqu
抚远,fuyuan
富锦,fujin
丰满,fengmanqu
扶余,fuyu1
抚松,fusong
法库,faku
抚顺,fushun
抚顺,fushunxian
凤城,fengcheng
阜新,fuxin
阜新蒙古族,fuxinmengguzu
丰镇,fengzhen
阜平,fuping
丰宁,fengning
丰南,fengnan
丰润,fengrun
阜城,fucheng
峰峰,fengfeng
肥乡,feixiang
复兴,fuxingqu
抚宁,funing
汾西,fenxi
浮山,fushan
繁峙,fanshi
方山,fangshan1
汾阳,fenyang
富县,fuxian
府谷,fugu
富平,fuping1
佛坪,fuoping
凤翔,fengxiang
扶风,fufeng
凤县,fengxian1
福山,fushan1
坊子,fangziqu
肥城,feicheng
费县,feixian
阜康,fukang
福海,fuhai
富蕴,fuyun
封丘,fengqiu
凤泉,fengquanqu
方城,fangcheng
范县,fanxian
扶沟,fugou
阜宁,funing1
丰县,fengxian2
樊城,fanchengqu
房县,fangxian
富阳,fuyang
奉化,fenghua
肥东,feidong
肥西,feixi
繁昌,fanchang
凤台,fengtai1
阜阳,fuyang1
阜南,funan
凤阳,fengyang
福州,fuzhou
福清,fuqing
福安,fuan
福鼎,fuding
丰泽,fengzequ
抚州,fuzhou1
奉新,fengxin
丰城,fengcheng1
浮梁,fuliang
分宜,fenyi
芙蓉,furongqu
凤凰,fenghuang
凤冈,fenggang
福泉,fuquan
富顺,fushun1
涪城,fuchengqu
丰顺,fengshun
福田,futianqu
佛山,foshan
封开,fengkai
佛冈,fogang
富民,fumin
富源,fuyuanxian
富宁,funingxian
凤庆,fengqing
福贡,fugong
扶绥,fusui
富川,fuchuan
福绵,fumian
凤山,fengshan
防城港,fangchenggang
防城,fangchengqu
风顺堂,fengshuntang
甘南,gannan1
工农,gongnongqu
公主岭,gongzhuling
甘井子,ganjingziqu
古塔,gutaqu
盖州,gaizhou
弓长岭,gongchangling
固阳,guyang
高力板,gaoliban
岗子,gangzi
根河,genhe
拐子湖,guanzihu
高邑,gaoyi
藁城,gaocheng
高阳,gaoyang
高碑店,gaobeidian
沽源,guyuan
古冶,guyequ
固安,guan
广阳,guangyangqu
故城,gucheng
广宗,guangzong
广平,guangping
馆陶,guantao
古交,gujiao
广灵,guangling
高平,gaoping
古县,guxian
高陵,gaoling
甘泉,ganquan
高青,gaoqing
高密,gaomi
广饶,guangrao
钢城,gangchengqu
冠县,guanxian
高唐,gaotang
高昌,gaochang
巩留,gongliu
岗巴,gangba
贡嘎,gongga
工布江达,gongbujiangda
贡觉,gongjue
改则,gaize
噶尔,gaer
革吉,geji
贵德,guide
贵南,guinan
共和,gonghe
果洛,guoluo
甘德,gande
刚察,gangcha
格尔木,geermu
皋兰,gaolan
古浪,gulang
高台,gaotai
甘州,ganzhouqu
瓜州,guazhou
甘谷,gangu
广河,guanghe
甘南,gannan
固原,guyuanguyuan
巩义,gongyi
管城回族,guanchengqu
光山,guangshan
固始,gushi
开封鼓楼,kaifenggulouqu
高淳,gaochun
鼓楼,nanjinggulou
姑苏,gusuqu
港闸,gangzhaqu
高邮,gaoyou
广陵,guanglingqu
徐州鼓楼,gulouqu
赣榆,ganyu
灌云,guanyun
灌南,guannan
高港,gaogangqu
谷城,gucheng1
公安,gongan
广水,guangshui
拱墅,gongshuqu
古城,guchengqu
固镇,guzhen
涡阳,guoyang
广德,guangde
贵池,guichiqu
古田,gutian
光泽,guangze
共青城,gongqingcheng
广丰,guangfeng
广昌,guangchang
高安,gaoan
赣州,ganzhou
赣县,ganxian
贵溪,guixi
桂阳,guiyang
桂东,guidong
古丈,guzhang
贵阳,guiyang1
观山湖,guanshanhu
关岭,guanling
贵定,guiding
贡井,gongjingqu
广安,guangan
广安,guanganqu
古蔺,gulin
高县,gaoxian
珙县,gongxian
甘洛,ganluo
甘孜,ganzi
广汉,guanghan
广元,guangyuan
广州,guangzhou
光明,guangming
高明,gaoming
广宁,guangning
高要,gaoyao
高州,gaozhou
官渡,guanduqu
个旧,gejiu
广南,guangnan
耿马,gengma
贡山,gongshan
桂林,guilin
灌阳,guanyang
恭城,gongcheng
恭城瑶族,gongchengqu
贵港,guigang
桂平,guiping
港北,gangbei
港南,gangnan
港口,gangkou
高雄,gaoxiong
海淀,haidian
怀柔,huairou
虹口,hongkou1
黄浦,huangpu1
汉沽,hangu
红桥,hongqiaoqu
河西,hexiqu
河东,hedongqu
河北,hebeiqu
和平,hepingqu
合川,hechuan
哈尔滨,haerbin
呼兰,hulan
海林,hailin
桦川,huachuan
桦南,huanan
海伦,hailun
黑河,heihe
呼玛,huma
呼中,huzhong
友好,youhaoqu
红星,hongxingqu
红岗,honggangqu
虎林,hulin
鹤岗,hegang
桦甸,huadian
和龙,helong
珲春,hunchun
辉南,huinan
浑江,hunjiangqu
皇姑,huangguqu
浑南,hunnan
和平,hepingqu1
海城,haicheng
桓仁,huanren
黑山,heishan
海州,haizhouqu
宏伟,hongwei
葫芦岛,huludao
呼和浩特,huhehaote
和林格尔,helin
呼市,hushijiaoqu
回民,huiminqv
海勃湾,haibowanqu
海南,hainanqu
化德,huade
霍林郭勒,huolinguole
浩尔吐,haoertu
红山,hongshanqu
杭锦旗,hangjinqi
海力素,hailisu
杭锦后旗,hangjinhouqi
海拉尔,hailaer
呼伦贝尔,hulunbeier
胡尔勒,huerle
怀安,huaian
怀来,huailai
海兴,haixing
黄骅,huanghua
河间,hejian
衡水,hengshui
邯郸,handan
邯山,hanshanqu
浑源,hunyuan
和顺,heshun
壶关,huguan
洪洞,hongtong
霍州,huozhou
侯马,houma
河津,hejin
怀仁,huairen
河曲,hequ
户县,huxian
黄陵,huangling
黄龙,huanglong
横山,hengshan
华县,huaxian
合阳,heyang
韩城,hancheng
华阴,huayin
华州,huazhouqu
汉阴,hanyin
汉滨,hanbinqu
汉中,hanzhong
汉台,hantaiqu
槐荫 ,kuaiyinqu
槐荫,jinanhuaiyin
黄岛,huangdao
桓台,huantai
海阳,haiyang
寒亭,hantingququ
河东,lingyihedong
菏泽,heze
惠民,huimin
河口,hekou
环翠,huancuiqu
呼图壁,hutubi
和静,hejing
和硕,heshuo
霍城,huocheng
霍尔果斯,huoerguosi
和布克赛尔,hebukesaier
哈密,hami
和田,hetian
和田,ketian
哈巴河,habahe
湟源,huangyuan
湟中,huangzhong
海东,haidong
互助,huzhu
化隆,hualong
黄南,huangnan
河南,henan1
河南蒙古族,henanmengguzu
海南,hainan
海西,haixi
海北,haibei
海晏,haiman
红古,honggu
华亭,huating
环县,huanxian
华池,huachi
合水,heshui
徽县,huixian
和政,hezheng
合作,hezuo
会宁,huining
贺兰,helan
惠农,huinong
红寺堡,hongsipuqu
海原,haiyuan
惠济,huijiqu
滑县,huaxian1
获嘉,huojia
辉县,huixian1
红旗,hongqiqu
淮滨,huaibin
潢川,huangchuan
鹤壁,hebi
鹤山,heshanqu1
华龙,hualongqu
淮阳,huaiyang
湖滨,hubinqu
惠山,huishanqu
虎丘,huqiuqu
海安,haian
海门,haimen
邗江,hanjiang1
淮安,huaian1
洪泽,hongze
淮阴,huaiyinqu
淮安,huaianqu
海州,lianyunganghaizhou
海陵,hailingqu
黄陂,huangpi
洪山,hongshan
汉阳,hanyangqu
汉南,hannanqu
汉川,hanchuan
黄冈,huanggang
红安,hongan
黄梅,huangmei
黄州,huangzhouqu
黄石,huangshi
黄石港,huangshigangqu
洪湖,honghu
华容,huarongqu
鹤峰,hefeng1
杭州,hangzhou
湖州,huzhou
海宁,haining
海盐,haiyan1
海曙,haishuqu
洪家,hongjia
黄岩,huangyan
横店,hengdian
合肥,hefei
怀远,huaiyuan
淮上,huaishangqu
淮南,huainan
花山,huashanqu
含山,hanshan
和县,hexian
怀宁,huaining
黄山,huangshan
黄山,huangshanqu
黄山风景,huangshanfengjingqu
徽州,huizhouqu
淮北,huaibei
霍邱,huoqiu
霍山,huoshan
湖里,huli
海沧,haicangqu
涵江,hanjiang
惠安,huian
华安,huaan
湖口,hukou
横峰,hengfeng
会昌,huichang
荷塘,hetangqu
衡阳,hengyang
衡山,hengshan1
衡东,hengdong
衡阳,hengyangxian
衡南,hengnan
汉寿,hanshou
赫山,heshanqu
华容,huarong
怀化,huaihua
会同,huitong
洪江,hongjiang
鹤城,hecheng
花垣,huayuan
花溪,huaxi
汇川,huichuan
红花岗,honghuagang
惠水,huishui
黄平,huangping
赫章,hezhang
华蓥,huaying
合江,hejiang
洪雅,hongya
会理,huili
会东,huidong
汉源,hanyuan
黑水,heishui
红原,hongyuan
花都,huadu
黄埔,huangpuqu
海珠,haizhuqu
惠州,huizhou
惠阳,huiyang
惠东,huidong1
惠城,huichengqu
濠江,haojiangqu
怀集,huaiji
鹤山,heshan
河源,heyuan
和平,heping
惠来,huilai
化州,huazhou
海丰,haifeng
鹤庆,heqing
红河,honghe
河口,hekou1
会泽,huize
华宁,huaning
红塔,hongtaqu
华坪,huaping
横县,hengxian
合山,heshanshi
贺州,hezhou
河池,hechi
环江,huanjiang
合浦,hepu
海口,haikou
海棠,haitangqu
香港,hongkong
花地玛,huadima
花莲,hualian
静安,jinganqu
嘉定,jiading
金山,jinshan
静海,jinghai
津南,jinnan
蓟州,tianjinjizhou
江北,jiangbei
九龙坡,jiulongpo
江津,jiangjin
建华,jianhuaqu
佳木斯,jiamusi
加格达奇,jiagedaqi
嘉荫,jiayin
金山屯,jinshantunqu
鸡西,jixi
鸡东,jidong
鸡冠,jiguanqu
恒山,hengshanqu
集贤,jixian1
尖山,jianshanqu
九台,jiutai
吉林,jilin
蛟河,jiaohe
集安,jian
靖宇,jingyu
江源,jiangyuan
金州,jinzhou
锦州,jinzhou1
建平,jianping
建昌,jianchang
九原,jiuyuanqu
集宁,jining
吉兰泰,jilantai
井陉,jingxing
晋州,jinzhou2
井陉矿,jingxingkuangqu
竞秀,jingxiu
京唐港,jingtanggang
景县,jingxian
冀州,jizhou
巨鹿,julu
鸡泽,jize
尖草坪,jiancaopingqu
晋源,jinyuanqu
郊区,jiaoqu
晋中,jinzhong
介休,jiexiu
潞州,changzhijiaoqu
晋城,jincheng
吉县,jixian
稷山,jishan
绛县,jiangxian
静乐,jingle
交口,jiaokou
交城,jiaocheng
泾阳,jingyang
佳县,jiaxian
靖边,jingbian
金台,jintaiqu
济南,jinan
济阳,jiyang
济南市中,jinanshizhong
即墨,jimo
胶州,jiaozhou
胶南,jiaonan
济宁,jining1
嘉祥,jiaxiang
金乡,jinxiang
莒南,junan
鄄城,juancheng
巨野,juye
莒县,juxian
吉木萨尔,jimusaer
伽师,jiashi
吉木乃,jimunai
精河,jinghe
江孜,jiangzi
吉隆,jilong
加查,jiacha
江达,jiangda
嘉黎,jiali
尖扎,jianzha
久治,jiuzhi
泾川,jingchuan
静宁,jingning
金昌,jinchang
金川,jinchuanqu
酒泉,jiuquan
金塔,jinta
积石山,jishishan
靖远,jingyuan
景泰,jingtai
嘉峪关,jiayuguan
金凤,jinfengqu
泾源,jinyuan1
金水,jinshuiqu
郏县,jiaxian1
金明,jinmingqu
吉利,jili
涧西,jianxiqu
焦作,jiaozuo
解放,jiefangqu
济源,jiyuan
江宁,jiangning
江浦,jiangpu
建邺,jianyequ
江阴,jiangyin
句容,jurong
京口,jingkou
金阊,jinchangqu
江都,jiangdu
建湖,jianhu
贾汪,jiawangqu
金湖,jinhu
金坛,jintan
姜堰,jiangyan
靖江,jingjiang
江夏,jiangxia
江汉,jianghanqu
江岸,jianganqu
嘉鱼,jiayu
荆州,jingzhou
江陵,jiangling
监利,jianli
荆州,jingzhouqu
建始,jianshi
荆门,jingmen
京山,jingshan
建德,jiande
江干,jiangganqu
嘉兴,jiaxing
嘉善,jiashan
江东,jiangdongqu
江北,ningbojiangbei
椒江,jiaojiang
缙云,jinyun
景宁,jingning1
金华,jinhua
金东,jindongqu
江山,jiangshan
居巢,juchaoqu
鸠江,jiujiangqu
镜湖,jinghuqu
金家庄,jinjiazhuangqu
界首,jieshou
泾县,jingxian1
旌德,jingde
绩溪,jixi1
金寨,jinzhai
金安,jinanqu
九华山,jiuhuashan
晋安,jinan1
集美,jimeiqu
蕉城,jiaochengqu
晋江,jinjiang
金门,jinmen
将乐,jiangle
建宁,jianning
建阳,jianyang
建瓯,jianou
进贤,jinxian
九江,jiujiang
九江,jiujiangxian
金溪,jinxi
靖安,jingan
吉安,jian1
吉安,jianxian
吉水,jishui
井冈山,jinggangshan
吉州,jizhouqu
景德镇,jingdezhen
嘉禾,jiahe
津市,jinshi
君山,junshanqu
靖州,jingzhou1
江永,jiangyong
江华,jianghua
吉首,jishou
剑河,jianhe
锦屏,jinping
江口,jiangkou
金沙,jinsha
金堂,jintang
锦江,jinjiangqu
金牛,jinniuqu
简阳,jianyang1
江油,jiangyou
嘉陵,jialingqu
江阳,jiangyangqu
江安,jiangan
筠连,junlian
井研,jingyan
夹江,jiajiang
金口河,jinkouhequ
金阳,jinyang
九龙,jiulong
九寨沟,jiuzhaigou
金川,jinchuan
旌阳,jingyangqu
剑阁,jiange
蕉岭,jiaoling
金平,jinpingqu
金湾,jinwan
江门,jiangmen
江海,jianghai
江城,jiangchengqu
揭阳,jieyang
揭西,jiexi
揭东,jiedong
晋宁,jinning
剑川,jianchuan
建水,jianshui
金平苗族,jinpingmiaozu
江川,jiangchuan
景谷,jinggu
景东,jingdong
江城,jiangcheng
江城哈尼族,jiangchengha
景洪,jinghong
景洪,jinghongshi
江南,jiangnan
江州,jiangzhou
江州,jaingzhou
金秀,jinxiu
靖西,jingxi
金城江,jinchengjiang
吉阳,jiyangqu
九龙,jiulongqu
嘉模,jiamo
嘉义,jiayi
基隆,jilongshi
嘉义县,jiayixian
金门,taiwanjinmen
开州,kaizhou
开县,kaixian
克山,keshan
克东,kedong
宽城,kuanchengqu
康平,kangping
宽甸,kuandian
开原,kaiyuan
喀喇沁左翼,kazuo
昆都仑,kundulunqu
科左中旗,kezuozhongqi
科左后旗,kezuohouqi
开鲁,kailu
库伦,kulun
科尔沁,horqinqu
克什克腾,keshiketeng
喀喇沁,kalaqin
康巴什,kangbashen
科右中旗,keyouzhongqi
科右前旗,keermiyouqian
科右中旗,keermiyouzhong
科尔沁左翼中旗,keerxinzuoyizhongqi
科尔沁左翼后旗,keerxinzuoyihouqi
康保,kangbao
宽城满族,kuanchengmanzu
开平,kaipingqu
矿区,kuangqu
岢岚,kelan
奎文,kuiwenqu
垦利,kenli
克拉玛依,kelamayi
克拉玛依,kelamayiqu
库尔勒,kuerle
库车,kuche
柯坪,keping
喀什,kashi
奎屯,kuitunshi
克州,kezhou
康马,kangma
卡若,keruoqu
崆峒,kongtong
康县,kangxian
康乐,kangle
开封,kaifeng
昆山,kunshan
柯桥,keqiaoqv
开化,kaihua
柯城,kechengqu
开福,kaifuqu
雨花,changshayuhua
开阳,kaiyang
凯里,kaili
开江,kaijiang
康定,kangding
开平,kaiping
昆明,kunming
开远,kaiyuan1
梁平,liangping
龙江,longjiang
林口,linkou
兰西,lanxi
林甸,lindian
龙凤,longfengqu
梨树,lishuqu
萝北,luobei
岭东,lingdongqu
绿园,luyuanqu
龙潭,longtan
龙井,longjing
梨树,lishu
柳河,liuhe
辽源,liaoyuan
龙山,longshanqu
临江,linjiang
辽中,liaozhong
旅顺,lvshun
旅顺,lushunkouqu
立山,lishanqu
凌海,linghai
凌河,linghe
老边,laobianqu
辽阳,liaoyang
辽阳,liaoyangxian
凌源,lingyuan
龙城,longchengqu
连山,lianshanqu
龙港,longgangqu
凉城,liangcheng
林西,linxi
临河,linhe
孪井滩,luanjingtan
栾城,luancheng
灵寿,lingshou
鹿泉,luquan1
莲池,lianchi
涞源,laiyuan
蠡县,lixian
涞水,laishui
滦平,luanping
隆化,longhua
滦州,luanxian
滦南,luannan
乐亭,laoting
路南,lunan
路北,lubei
廊坊,langfang
临城,lincheng
隆尧,longyao
临西,linxi1
临漳,linzhang
卢龙,lulong
娄烦,loufan
灵丘,lingqiu
灵石,lingshi
黎城,licheng
潞城,lucheng
陵川,lingchuan
临汾,linfen
临猗,linyi
吕梁,lvliang
离石,lvlianglishi
临县,linxian
岚县,lanxian
柳林,liulin
临潼,lintong
蓝田,lantian
莲湖,lianhuqu
礼泉,liquan
洛川,luochuan
临渭,linweiqu
洛南,luonan
岚皋,langao
略阳,lueyang
留坝,liuba
麟游,linyou
陇县,longxian
历下,lixiaqu
历城,jinanlicheng
崂山,laoshan
莱西,laixi
李沧,licangqu
临淄,linzi
临邑,linyi1
陵城,lingxian
乐陵,leling
莱州,laizhou
龙口,longkou
莱阳,laiyang
莱山,laishanqu
临朐,linqu
梁山,liangshan
临沂,linyi2
临沭,linshu
兰山,lanshanqu
罗庄,luozhuangqu
兰陵,lanling
利津,lijin
岚山,rizhaolanshan
莱芜,laiwu
莱芜,laicheng
聊城,liaocheng
临清,linqing
轮台,luntai
洛浦,luopu
拉萨,lasa
林周,linzhou1
拉孜,lazi
浪卡子,langkazi
隆子,longzi
洛扎,luozha
林芝,linzhi
朗县,langxian
洛隆,luolong
类乌齐,leiwuqi
乐都,ledu
冷湖,lenghu
兰州,lanzhou
陇西,longxi
临洮,lintao
灵台,lingtai
凉州,liangzhouqu
临泽,linze
礼县,lixian1
两当,liangdang
陇南,longnan1
临夏,linxia
临夏,linxiaxian
临潭,lintan
碌曲,luqu
灵武,lingwu
利通,litongqu
隆德,longde
林州,linzhou
龙安,longanqu
鲁山,lushan
罗山,luoshan
兰考,lankao
龙亭,longting
顺河回族,shunhehuizu
洛阳,luoyang
洛宁,luoning
栾川,luanchuan
洛龙,luolongqu
老城,laochengqu
梁园,liangyuanqu
